UniqueID,Variable,Component,EMS_Code,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
12,"1,2,4-Trichlorobenzene",Total,EMS_T066,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,24,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
13,"1,2,4-Trichlorobenzene",Total,EMS_T066,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00811,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
14,"1,2,4-Trichlorobenzene",Total,EMS_T066,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0181,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
15,"1,2,4-Trichlorobenzene",Total,EMS_T066,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5.4,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
16,"1,3-Dichlorobenzene",Total,EMS_B026,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,150,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
17,"1,4-Dichlorobenzene",Total,EMS_B025,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,26,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
18,"1,4-Dichlorobenzene",Total,EMS_B025,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0311,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
19,"1,4-Dichlorobenzene",Total,EMS_B025,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.091,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
20,2-Methylnaphthalene,Total,EMS_PA28,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0202,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
21,2-Methylnaphthalene,Total,EMS_PA28,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.201,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
22,2-Methylnaphthalene,Total,EMS_PA28,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.02,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
23,2-Methylnaphthalene,Total,EMS_PA28,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.202,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
24,3-Hydroxyphenol,Total,,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,12.5,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf
25,3-Lodo-2-propynl butylcarbamate (IPBC),Total,EMS_IPBC,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
26,4-Hydroxyphenol,Total,,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,4.5,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf
27,Acenaphthene,Total,EMS_PA01,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Sediment with 1% Organic Carbon.,No Effect,Upper Limit,0.15,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
28,Acenaphthene,Total,EMS_PA01,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00671,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
29,Acenaphthene,Total,EMS_PA01,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0889,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
30,Acenaphthene,Total,EMS_PA01,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,6,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
31,Acenaphthene,Total,EMS_PA01,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,0.15,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
32,Acenaphthene,Total,EMS_PA01,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00671,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
33,Acenaphthene,Total,EMS_PA01,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0889,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
34,Acenaphthene,Total,EMS_PA01,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,6,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
35,Acenaphthylene,Total,EMS_PA02,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00587,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
36,Acenaphthylene,Total,EMS_PA02,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.128,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
37,Acenaphthylene,Total,EMS_PA02,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00587,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
38,Acenaphthylene,Total,EMS_PA02,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.128,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
39,Acridine,Total,EMS_PA18,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,Sediment with 1% Organic Carbon,No Effect,Upper Limit,1,,ug/g,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
40,Acridine,Total,EMS_PA18,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,Non-Phototoxic Environment,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
41,Acridine,Total,EMS_PA18,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,Phototoxic Environment,No Effect,Upper Limit,0.05,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
42,Acrolein,Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.14,,ug/L,Working,"US Environmental Protection Agency. 2009. Ambient aquatic life water quality criteria for acrolein (CAS registry no. 107-02-8). Washington, DC (US): EPA Office of Science and Technology, Health and Ecological Criteria Division. 49 p.",,,
43,Alcohol ethoxylated sulphate (AES),Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,340,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
44,Alcohol ethoxylated surfactants (AE),Total,,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
45,Aldicarb,Total,EMS_A003,Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,54.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
46,Aldicarb,Total,EMS_A003,Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,11,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
47,Aldicarb,Total,EMS_A003,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
48,Aldicarb,Total,EMS_A003,Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.15,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
49,Aldrin,Total,EMS_A002,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,Effect level based on screening level concentration.,,,No Effect,Upper Limit,0.0021,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
50,Aldrin,Total,EMS_A002,Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.081,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
51,Aldrin,Total,EMS_A002,Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,EPA chronic marine EqP threshold; 0.0001 significantly toxic to R. abronius based on CoA,,,No Effect,Upper Limit,0.005,,ug/g,Working,"Long, E. R., and Morgan, L. G. 1990. The Potential for Biological Effects of Sediment Sorbed Contaminants Tested in the National Status and Tends Program, National Oceanic and Atmospheric Administration, Seattle, Washington.",,,
52,Alkalinity ( CaCO3),Total,EMS_0102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
53,Alkalinity ( CaCO3),Total,EMS_0102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
54,Alkalinity ( CaCO3),Total,EMS_1102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
55,Alkalinity ( CaCO3),Total,EMS_1102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
56,Alkalinity ( CaCO3),Total,EMS_AK_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
57,Alkalinity ( CaCO3),Total,EMS_AK_T,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
58,Alkalinity ( CaCO3),Total,EMS_D102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
59,Alkalinity ( CaCO3),Total,EMS_D102,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
60,Aluminum ,Dissolved,EMS_AL_D,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,EMS_0004 >= 6.5,,No Effect,Upper Limit,0.1,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
61,Aluminum ,Dissolved,EMS_AL_D,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,EMS_0004 < 6.5,,No Effect,Upper Limit,exp(1.209 - 2.426 * EMS_0004 + 0.286 * EMS_0004^2),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
62,Aluminum ,Dissolved,EMS_AL_D,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0004 >= 6.5,,No Effect,Upper Limit,0.05,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
63,Aluminum ,Dissolved,EMS_AL_D,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0004 < 6.5,,No Effect,Upper Limit,exp(1.6 - 3.327 * EMS_0004 + 0.402 * EMS_0004^2),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
64,Aluminum ,Total,EMS_AL_T,Agriculture - Irrigation,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
65,Aluminum ,Total,EMS_AL_T,Agriculture - Livestock,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
66,Aluminum ,Total,EMS_AL_T,Drinking Water,Water,Maximum Acceptable Concentration,1,1,max,,,,,No Effect,Upper Limit,9.5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/drinking-water-and-recreation/source_drinking_water_quality_guidelines_bcenv.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
67,Aluminum ,Total,EMS_AL_T,Wildlife,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,5,,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminumtech.pdf
68,Ammonia ,Total,EMS_0108,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,0<= EMS_0013 & EMS_0013 <= 20 & 6.5 <= EMS_0004 & EMS_0004 <8,,No Effect,Upper Limit,((0.52/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/2*0.822)*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
69,Ammonia ,Total,EMS_0108,Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,0<= EMS_0013 & EMS_0013 <= 20 & 8 <= EMS_0004 & EMS_0004 <=9,,No Effect,Upper Limit,((0.52/(10^(0.03*(20-EMS_0013)))/2*0.822)*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
70,Ammonia ,Total,EMS_0108,Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,0<= EMS_0013 & EMS_0013 < 15 & 6.5 <= EMS_0004 & EMS_0004 < 7.7,,No Effect,Upper Limit,(0.8/(10^(0.03*(20-EMS_0013)))/((1+10^(7.4-EMS_0004))/1.25)/((24*10^(7.7-EMS_0004))/(1+10^(7.4-EMS_0004)))*0.822*100)/(1/(10^((0.09018+2729.92/(273.2+EMS_0013))-EMS_0004)+1)*100),,mg/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-overview.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/nitrogen-amonia-tech.pdf
